"","country","continent","variable","value"
"636","Taiwan","Asia","active_cases",777
"637","Tajikistan","Asia","active_cases",405
"638","Tanzania","Africa","active_cases",813
"639","Thailand","Asia","active_cases",200510
"640","Timor Leste","Asia","active_cases",983
"641","Togo","Africa","active_cases",1196
"642","Trinidad And Tobago","North America","active_cases",5958
"643","Tunisia","Africa","active_cases",59183
"644","Turkey","Asia","active_cases",221353
"645","Turks And Caicos Islands","North America","active_cases",35
"646","Uganda","Africa","active_cases",8122
"647","United Kingdom","Europe","active_cases",1218224
"648","Ukraine","Europe","active_cases",12977
"649","United Arab Emirates","Asia","active_cases",20711
"650","Uruguay","South America","active_cases",2115
"651","United States of America","North America","active_cases",5438593
"652","Uzbekistan","Asia","active_cases",5289
"653","Vanuatu","Australia/Oceania","active_cases",0
"654","Venezuela","South America","active_cases",12286
"655","Vietnam","Asia","active_cases",104477
"656","Wallis And Futuna Islands","Australia/Oceania","active_cases",0
"657","Western Sahara","Africa","active_cases",1
"658","Yemen","Asia","active_cases",1501
"659","Zambia","Africa","active_cases",5191
"660","Zimbabwe","Africa","active_cases",29438
