"","country","continent","variable","value"
"131","Micronesia","Australia/Oceania","total_deaths",NA
"132","Moldova","Europe","total_deaths",6255
"133","Monaco","Europe","total_deaths",33
"134","Mongolia","Asia","total_deaths",815
"135","Montenegro","Europe","total_deaths",1630
"136","Montserrat","North America","total_deaths",1
"137","Morocco","Africa","total_deaths",9785
"138","Mozambique","Africa","total_deaths",1434
"139","Myanmar","Asia","total_deaths",9334
"140","Namibia","Africa","total_deaths",3044
"141","Nepal","Asia","total_deaths",9857
"142","Netherlands","Europe","total_deaths",17827
"143","New Caledonia","Australia/Oceania","total_deaths",NA
"144","New Zealand","Australia/Oceania","total_deaths",26
"145","Nicaragua","North America","total_deaths",195
"146","Niger","Africa","total_deaths",195
"147","Nigeria","Africa","total_deaths",2149
"148","Norway","Europe","total_deaths",799
"149","Oman","Asia","total_deaths",3814
"150","Pakistan","Asia","total_deaths",23360
"151","Panama","North America","total_deaths",6808
"152","Papua New Guinea","Australia/Oceania","total_deaths",192
"153","Paraguay","South America","total_deaths",14929
"154","Peru","South America","total_deaths",196291
"155","Philippines","Asia","total_deaths",27889
"156","Poland","Europe","total_deaths",75261
"157","Portugal","Europe","total_deaths",17361
"158","Qatar","Asia","total_deaths",601
"159","Reunion","Africa","total_deaths",275
"160","Romania","Europe","total_deaths",34281
"161","Russia","Europe","total_deaths",158563
"162","Rwanda","Africa","total_deaths",808
"163","Saint Barthelemy","North America","total_deaths",1
"164","Saint Helena","Africa","total_deaths",NA
"165","Saint Kitts And Nevis","North America","total_deaths",3
"166","Saint Lucia","North America","total_deaths",89
"167","Saint Martin","North America","total_deaths",38
"168","Saint Pierre And Miquelon","North America","total_deaths",NA
"169","Saint Vincent And The Grenadines","North America","total_deaths",12
"170","Samoa","Australia/Oceania","total_deaths",NA
"171","San Marino","Europe","total_deaths",90
"172","Sao Tome And Principe","Africa","total_deaths",37
"173","Saudi Arabia","Asia","total_deaths",8237
"174","Senegal","Africa","total_deaths",1353
"175","Serbia","Europe","total_deaths",7114
"176","Seychelles","Africa","total_deaths",94
"177","Sierra Leone","Africa","total_deaths",120
"178","Singapore","Asia","total_deaths",37
"179","Sint Maarten","North America","total_deaths",34
"180","Slovakia","Europe","total_deaths",12540
"181","Slovenia","Europe","total_deaths",4429
"182","Solomon Islands","Australia/Oceania","total_deaths",NA
"183","Somalia","Africa","total_deaths",809
"184","South Africa","Africa","total_deaths",72013
"185","South Korea","Asia","total_deaths",2095
"186","South Sudan","Africa","total_deaths",119
"187","Spain","Europe","total_deaths",81486
"188","Sri Lanka","Asia","total_deaths",4436
"189","State Of Palestine","Asia","total_deaths",3603
"190","Sudan","Africa","total_deaths",2776
"191","Suriname","South America","total_deaths",645
"192","Swaziland","Africa","total_deaths",787
"193","Sweden","Europe","total_deaths",14617
"194","Switzerland","Europe","total_deaths",10906
"195","Syria","Asia","total_deaths",1914
"196","Taiwan","Asia","total_deaths",787
"197","Tajikistan","Asia","total_deaths",121
"198","Tanzania","Africa","total_deaths",21
"199","Thailand","Asia","total_deaths",4857
"200","Timor Leste","Asia","total_deaths",26
"201","Togo","Africa","total_deaths",152
"202","Trinidad And Tobago","North America","total_deaths",1070
"203","Tunisia","Africa","total_deaths",19686
"204","Turkey","Asia","total_deaths",51332
"205","Turks And Caicos Islands","North America","total_deaths",18
"206","Uganda","Africa","total_deaths",2690
"207","United Kingdom","Europe","total_deaths",129654
"208","Ukraine","Europe","total_deaths",52945
"209","United Arab Emirates","Asia","total_deaths",1949
"210","Uruguay","South America","total_deaths",5959
"211","United States of America","North America","total_deaths",629290
"212","Uzbekistan","Asia","total_deaths",874
"213","Vanuatu","Australia/Oceania","total_deaths",1
"214","Venezuela","South America","total_deaths",3576
"215","Vietnam","Asia","total_deaths",1161
"216","Wallis And Futuna Islands","Australia/Oceania","total_deaths",7
"217","Western Sahara","Africa","total_deaths",1
"218","Yemen","Asia","total_deaths",1375
"219","Zambia","Africa","total_deaths",3389
"220","Zimbabwe","Africa","total_deaths",3490
"221","Afghanistan","Asia","total_recovered",98073
"222","Albania","Europe","total_recovered",130222
"223","Algeria","Africa","total_recovered",115276
"224","Andorra","Europe","total_recovered",14210
"225","Angola","Africa","total_recovered",36708
"226","Anguilla","North America","total_recovered",111
"227","Antigua And Barbuda","North America","total_recovered",1235
"228","Argentina","South America","total_recovered",4569552
"229","Armenia","Asia","total_recovered",219864
"230","Aruba","North America","total_recovered",11160
"231","Australia","Australia/Oceania","total_recovered",29926
"232","Austria","Europe","total_recovered",643027
"233","Azerbaijan","Asia","total_recovered",332926
"234","Bahamas","North America","total_recovered",12606
"235","Bahrain","Asia","total_recovered",266796
"236","Bangladesh","Asia","total_recovered",1078212
"237","Barbados","North America","total_recovered",4229
"238","Belarus","Europe","total_recovered",440200
"239","Belgium","Europe","total_recovered",1058072
"240","Belize","North America","total_recovered",13420
"241","Benin","Africa","total_recovered",8136
"242","Bermuda","North America","total_recovered",2495
"243","Bhutan","Asia","total_recovered",2374
"244","Bolivia","South America","total_recovered",407072
"245","Bosnia And Herzegovina","Europe","total_recovered",189369
"246","Botswana","Africa","total_recovered",95323
"247","Brazil","South America","total_recovered",18619542
"248","British Virgin Islands","North America","total_recovered",1914
"249","Brunei Darussalam","Asia","total_recovered",280
"250","Bulgaria","Europe","total_recovered",398536
"251","Burkina Faso","Africa","total_recovered",13369
"252","Burundi","Africa","total_recovered",773
"253","Cabo Verde","Africa","total_recovered",33011
"254","Cambodia","Asia","total_recovered",69996
"255","Cameroon","Africa","total_recovered",80433
"256","Canada","North America","total_recovered",1397641
"257","Caribbean Netherlands","North America","total_recovered",1661
"258","Cayman Islands","North America","total_recovered",631
"259","Central African Republic","Africa","total_recovered",6859
"260","Chad","Africa","total_recovered",4792
"261","Channel Islands","Europe","total_recovered",6558
"262","Chile","South America","total_recovered",1570492
"263","China Hong Kong Sar","Asia","total_recovered",11713
"264","China Macao Sar","Asia","total_recovered",54
"265","China","Asia","total_recovered",87323
"266","Colombia","South America","total_recovered",4578519
"267","Comoros","Africa","total_recovered",3865
"268","Congo","Africa","total_recovered",12421
"269","Costa Rica","North America","total_recovered",329639
"270","Cote D Ivoire","Africa","total_recovered",49261
"271","Croatia","Europe","total_recovered",354238
"272","Cuba","North America","total_recovered",338968
"273","Curacao","North America","total_recovered",12853
"274","Cyprus","Asia","total_recovered",80178
"275","Czech Republic","Europe","total_recovered",1640314
"276","Democratic Republic Of The Congo","Africa","total_recovered",29994
"277","Denmark","Europe","total_recovered",303182
"278","Djibouti","Africa","total_recovered",11490
"279","Dominica","North America","total_recovered",200
"280","Dominican Republic","North America","total_recovered",323333
"281","Ecuador","South America","total_recovered",443880
"282","Egypt","Africa","total_recovered",229712
"283","El Salvador","North America","total_recovered",76265
"284","Equatorial Guinea","Africa","total_recovered",8637
"285","Eritrea","Africa","total_recovered",6444
"286","Estonia","Europe","total_recovered",128898
"287","Ethiopia","Africa","total_recovered",263500
"288","Faeroe Islands","Europe","total_recovered",943
"289","Falkland Islands Malvinas","South America","total_recovered",63
"290","Fiji","Australia/Oceania","total_recovered",7705
"291","Finland","Europe","total_recovered",46000
"292","France","Europe","total_recovered",5700815
"293","French Guiana","South America","total_recovered",9995
"294","French Polynesia","Australia/Oceania","total_recovered",19206
"295","Gabon","Africa","total_recovered",25166
"296","Gambia","Africa","total_recovered",6600
"297","Georgia","Asia","total_recovered",382393
"298","Germany","Europe","total_recovered",3653300
"299","Ghana","Africa","total_recovered",97213
"300","Gibraltar","Europe","total_recovered",4471
"301","Greece","Europe","total_recovered",446985
"302","Greenland","North America","total_recovered",78
"303","Grenada","North America","total_recovered",161
"304","Guadeloupe","North America","total_recovered",2250
"305","Guatemala","North America","total_recovered",321832
